Year,Mileage,Engine_CC,Previous_Owners,Price
2015,80000,1300,2,1800000
2016,70000,1500,1,2100000
2017,60000,1600,1,2400000
2018,50000,1800,1,2900000
2019,40000,2000,1,3400000
2020,30000,1500,0,3900000
2021,20000,1800,0,4500000
2014,90000,1300,3,1500000
2013,100000,1000,3,1200000
2018,55000,1600,1,2700000
2019,45000,1800,1,3500000
2020,35000,2000,0,4100000
2017,65000,1500,2,2300000
2016,75000,1300,2,2000000
2021,18000,2000,0,4700000
2015,85000,1300,2,1700000
2014,95000,1000,3,1300000
2019,42000,1800,1,3600000
2020,28000,1500,0,4000000
2018,48000,1600,1,2800000
2017,62000,1500,2,2500000
2016,72000,1300,2,1900000
2015,82000,1300,2,1600000
2021,15000,2000,0,4800000
2019,38000,1800,1,3300000
2018,52000,1600,1,2750000
2017,68000,1500,2,2200000
2020,32000,2000,0,4200000
2014,88000,1300,3,1400000
2013,105000,1000,4,1100000
2022,12000,2000,0,5200000
2021,22000,1800,0,4600000
2019,36000,1600,1,3700000
2018,47000,1500,1,3000000
2016,76000,1300,2,2100000
2015,89000,1000,2,1600000
2020,29000,1800,0,4300000
2022,10000,2000,0,5500000
2017,58000,1500,2,2600000
2019,41000,1800,1,3800000
